CLIENT_id,surv_time,status,extra_attempts,main_extra_attempt,stuck,mean_time
98,0.08333333333333333,0,1,anagrafica-c,anagrafica-c,0.0277777777777778
99,0.1,0,0,NA,antiriciclaggio,0.0166666666666667
100,0.4,0,0,NA,contract-subscription,0.0571428571428571
101,0,0,0,NA,antiriciclaggio,0
102,0.11666666666666667,0,0,NA,antiriciclaggio,0.0194444444444444
103,0.21666666666666667,0,0,NA,anagrafica-d,0.0361111111111111
103,0.21666666666666667,0,0,NA,antiriciclaggio,0.0361111111111111
104,0.15,0,0,NA,antiriciclaggio,0.025
105,0,0,0,NA,contract-activation,0
106,9.716666666666667,0,0,NA,antiriciclaggio,1.61944444444444
107,0,0,0,NA,antiriciclaggio,0
108,0.15,1,0,NA,conclude,0.01875
108,0.15,1,0,NA,contract-subscription,0.01875
109,0,0,0,NA,codice-fiscale,0
110,0.16666666666666666,0,1,anagrafica-a,antiriciclaggio,0.0238095238095238
111,0.1,0,1,contract-activation,contract-activation,0.05
112,0,0,0,NA,antiriciclaggio,0
113,16.8,1,1,anagrafica-b,conclude,1.86666666666667
113,16.8,1,1,anagrafica-b,contract-subscription,1.86666666666667
114,0,0,0,NA,antiriciclaggio,0
115,0,0,0,NA,antiriciclaggio,0
116,0,0,0,NA,antiriciclaggio,0
117,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
118,22.783333333333335,0,0,NA,antiriciclaggio,5.69583333333333
119,0.16666666666666666,0,0,NA,contract-subscription,0.0238095238095238
120,0.11666666666666667,0,0,NA,anagrafica-b,0.0388888888888889
121,0,0,0,NA,antiriciclaggio,0
122,92.45,0,0,NA,antiriciclaggio,46.225
123,0,0,0,NA,antiriciclaggio,0
124,2782.733333333333,0,0,NA,anagrafica-a,1391.36666666667
125,0,0,0,NA,antiriciclaggio,0
126,0.016666666666666666,0,0,NA,antiriciclaggio,0.00555555555555556
127,0,0,0,NA,antiriciclaggio,0
128,334.4,1,1,anagrafica-a,conclude,37.1555555555556
128,334.4,1,1,anagrafica-a,contract-subscription,37.1555555555556
129,0,0,0,NA,antiriciclaggio,0
130,130.33333333333334,0,5,anagrafica-a,contract-subscription,10.8611111111111
131,0.06666666666666667,0,0,NA,anagrafica-c,0.0166666666666667
132,0,0,0,NA,antiriciclaggio,0
133,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
134,0.15,0,0,NA,contract-subscription,0.0214285714285714
135,0,0,0,NA,anagrafica-c,0
136,0,0,0,NA,antiriciclaggio,0
137,0,0,0,NA,antiriciclaggio,0
138,0,0,0,NA,antiriciclaggio,0
139,0,0,0,NA,antiriciclaggio,0
140,0,0,0,NA,antiriciclaggio,0
141,0,0,0,NA,antiriciclaggio,0
142,145.9,1,0,NA,conclude,18.2375
142,145.9,1,0,NA,contract-subscription,18.2375
143,0,0,0,NA,antiriciclaggio,0
144,0,0,0,NA,antiriciclaggio,0
145,22.183333333333334,0,0,NA,contract-subscription,3.16904761904762
146,0.21666666666666667,0,0,NA,anagrafica-c,0.108333333333333
147,0,0,0,NA,antiriciclaggio,0
148,0.08333333333333333,0,0,NA,anagrafica-d,0.0166666666666667
149,0.26666666666666666,0,0,NA,contract-subscription,0.0380952380952381
150,0.13333333333333333,1,0,NA,conclude,0.0166666666666667
150,0.13333333333333333,1,0,NA,contract-subscription,0.0166666666666667
151,0.16666666666666666,0,0,NA,contract-subscription,0.0238095238095238
152,388.6166666666667,0,0,NA,anagrafica-c,194.308333333333
153,0,0,0,NA,anagrafica-c,0
154,0,0,0,NA,antiriciclaggio,0
155,0,0,0,NA,antiriciclaggio,0
156,0,0,0,NA,antiriciclaggio,0
157,0.016666666666666666,0,0,NA,antiriciclaggio,0.00833333333333333
158,433.3333333333333,1,0,NA,antiriciclaggio,216.666666666667
159,0,0,0,NA,antiriciclaggio,0
160,0,0,0,NA,antiriciclaggio,0
161,0,0,0,NA,antiriciclaggio,0
162,0.16666666666666666,0,0,NA,anagrafica-c,0.0416666666666667
163,0.36666666666666664,0,0,NA,contract-subscription,0.0523809523809524
164,0,0,0,NA,anagrafica-c,0
165,12.9,1,1,codice-fiscale,conclude,1.43333333333333
165,12.9,1,1,codice-fiscale,contract-subscription,1.43333333333333
166,0.4166666666666667,1,1,anagrafica-d,conclude,0.0462962962962963
166,0.4166666666666667,1,1,anagrafica-d,contract-subscription,0.0462962962962963
167,0,0,0,NA,anagrafica-c,0
168,48.416666666666664,0,0,NA,contract-subscription,6.91666666666667
169,0.6,0,0,NA,contract-subscription,0.0857142857142857
170,0,0,0,NA,antiriciclaggio,0
171,0,1,0,NA,conclude,0
172,0,0,0,NA,anagrafica-c,0
173,0,0,0,NA,antiriciclaggio,0
174,0,0,0,NA,contract-activation,0
175,0,0,0,NA,antiriciclaggio,0
176,0,0,0,NA,antiriciclaggio,0
177,0.05,0,0,NA,antiriciclaggio,0.0166666666666667
178,0,0,0,NA,anagrafica-b,0
179,0,0,0,NA,antiriciclaggio,0
180,0.06666666666666667,0,0,NA,contract-subscription,0.0222222222222222
181,0,0,0,NA,antiriciclaggio,0
182,149.21666666666667,0,0,NA,antiriciclaggio,74.6083333333333
183,0,0,0,NA,antiriciclaggio,0
184,0,0,0,NA,antiriciclaggio,0
185,0.016666666666666666,0,0,NA,anagrafica-a,0.00833333333333333
186,765.5166666666667,0,0,NA,contract-subscription,127.586111111111
187,172.33333333333334,0,0,NA,anagrafica-c,57.4444444444444
188,0,1,0,NA,conclude,0
